class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
MOLLUSCS,Hemicycla inutilis,NT,VU,2010,2011,1,2,-1
MOLLUSCS,Lampadia webbiana,VU,EN,2010,2011,2,3,-1
MOLLUSCS,Leiostyla concinna,VU,EN,2010,2011,2,3,-1
MOLLUSCS,Leiostyla degenerata,VU,NT,2010,2011,2,1,1
MOLLUSCS,Leiostyla relevata,VU,NT,2010,2011,2,1,1
MOLLUSCS,Lemniscia michaudi,VU,NT,2010,2011,2,1,1
MOLLUSCS,Orcula fuchsi,LR/nt,CR,2010,2011,NA,4,NA
MOLLUSCS,Plutonia reticulata,EN,CR,2010,2011,3,4,-1
MOLLUSCS,Pseudanodonta complanata,LR/nt,VU,2010,2011,NA,2,NA
MOLLUSCS,Renea bourguignatiana,VU,CR,2010,2011,2,4,-2
MOLLUSCS,Suboestophora altamirai,LR/nt,VU,2010,2011,NA,2,NA
