assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
12649851,6336,Delphinus delphis,61,Pacific - northwest,,Native,Extant,
12649851,6336,Delphinus delphis,77,Pacific - eastern central,,Native,Extant,
12649851,6336,Delphinus delphis,37,Mediterranean and Black Sea,,Native,Extant,
12649851,6336,Delphinus delphis,51,Indian Ocean - western,,Native,Extant,
12649851,6336,Delphinus delphis,71,Pacific - western central,,Native,Extant,
12649851,6336,Delphinus delphis,34,Atlantic - eastern central,,Native,Extant,
12649851,6336,Delphinus delphis,81,Pacific - southwest,,Native,Extant,
12649851,6336,Delphinus delphis,57,Indian Ocean - eastern,,Native,Extant,
12649851,6336,Delphinus delphis,41,Atlantic - southwest,,Native,Extant,
12649851,6336,Delphinus delphis,47,Atlantic - southeast,,Native,Extant,
12649851,6336,Delphinus delphis,21,Atlantic - northwest,,Native,Extant,
12649851,6336,Delphinus delphis,27,Atlantic - northeast,,Native,Extant,
12663800,6337,Delphinus capensis,87,Pacific - southeast,,Native,Extant,
12663800,6337,Delphinus capensis,61,Pacific - northwest,,Native,Extant,
12663800,6337,Delphinus capensis,77,Pacific - eastern central,,Native,Extant,
12663800,6337,Delphinus capensis,51,Indian Ocean - western,,Native,Extant,
12663800,6337,Delphinus capensis,34,Atlantic - eastern central,,Native,Extant,
12663800,6337,Delphinus capensis,71,Pacific - western central,,Native,Extant,
12663800,6337,Delphinus capensis,81,Pacific - southwest,,Native,Extant,
12663800,6337,Delphinus capensis,57,Indian Ocean - eastern,,Native,Extant,
12663800,6337,Delphinus capensis,41,Atlantic - southwest,,Native,Extant,
12663800,6337,Delphinus capensis,47,Atlantic - southeast,,Native,Extant,
12663800,6337,Delphinus capensis,21,Atlantic - northwest,,Native,Extant,
12663800,6337,Delphinus capensis,27,Atlantic - northeast,,Native,Extant,
12663800,6337,Delphinus capensis,31,Atlantic - western central,,Native,Extant,
12692390,63570,Argyrosomus hololepidotus,51,Indian Ocean - western,,Native,Extant,
12692964,63572,Pterapogon kauderni,81,Pacific - southwest,,Native,Extant,
12931575,8784,Gadus morhua,27,Atlantic - northeast,,Native,Extant,
12931575,8784,Gadus morhua,21,Atlantic - northwest,,Native,Extant,
12978210,9281,Glyphis gangeticus,51,Indian Ocean - western,,Native,Presence Uncertain,
12978210,9281,Glyphis gangeticus,57,Indian Ocean - eastern,,Native,Presence Uncertain,
13036088,222,Acipenser brevirostrum,31,Atlantic - western central,,Native,Extant,
13036088,222,Acipenser brevirostrum,21,Atlantic - northwest,,Native,Extant,
13038215,225,Acipenser nudiventris,37,Mediterranean and Black Sea,,Native,Extant,Resident
13040387,229,Acipenser stellatus,37,Mediterranean and Black Sea,,Native,Extant,Resident
13042340,232,Acipenser gueldenstaedtii,37,Mediterranean and Black Sea,,Native,Extant,Resident
13042842,233,Acipenser medirostris,77,Pacific - eastern central,,Native,Extant,
13042842,233,Acipenser medirostris,67,Pacific - northeast,,Native,Extant,
13043189,234,Acipenser transmontanus,77,Pacific - eastern central,,Native,Extant,
13043189,234,Acipenser transmontanus,67,Pacific - northeast,,Native,Extant,
13044272,236,Acipenser sinensis,61,Pacific - northwest,,Native,Extant,Resident
13045375,241,Acipenser mikadoi,61,Pacific - northwest,,Native,Extant,Resident
13462780,13458323,Synagrops bellus,31,Atlantic - western central,,Native,Extant,Resident
13462780,13458323,Synagrops bellus,41,Atlantic - southwest,,Native,Extant,Resident
13462780,13458323,Synagrops bellus,21,Atlantic - northwest,,Native,Extant,Resident
13462786,13458375,Synagrops microlepis,47,Atlantic - southeast,,Native,Extant,
13462786,13458375,Synagrops microlepis,34,Atlantic - eastern central,,Native,Extant,
13462792,13462250,Guentherus altivela,34,Atlantic - eastern central,,Native,Extant,Resident
13462792,13462250,Guentherus altivela,87,Pacific - southeast,,Native,Extant,Resident
13462792,13462250,Guentherus altivela,47,Atlantic - southeast,,Native,Extant,Resident
13462792,13462250,Guentherus altivela,77,Pacific - eastern central,,Native,Extant,Resident
13462792,13462250,Guentherus altivela,27,Atlantic - northeast,,Native,Extant,Resident
13489078,13462325,Ijimaia loppei,41,Atlantic - southwest,,Native,Extant,Resident
13489078,13462325,Ijimaia loppei,47,Atlantic - southeast,,Native,Extant,Resident
